EmpID,LastName,FirstName,Address,City,State,Zip,Telephone,Hiredate,Dept,Location,WorkPhone,M-S,Budget,Grade,Step,Salary,LastChg,Vested,HealthPlan,SupervisorName,SuprPhone
10001,Sullivan,Frank,18211 E. Valley Hwy.,Kent,WA,98032,(253) 872-1000,9/9/1982,PROD,Renton,(425) 393-1000,PB-18,R-1779,20,4,"$5,245.94",1/1/2018,Yes,Regence BlueShield,Wes Adams,(206) 221-1958
10025,Selby,Betty,15702 116Th Se,Renton,WA,98058,(425) 226-1002,10/3/1982,PROD,Seattle,(206) 221-1002,QR-35,R-2661,12,4,"$3,865.04",1/1/2018,Yes,Regence BlueShield,Marsha Mosley,(206) 221-1975
10090,O'Brien,Ken,312 Seneca,Renton,WA,98055,(425) 227-1009,12/7/1982,MKTG,Bellevue,(425) 882-1009,RL-27,M-1211,13,6,"$4,082.67",1/1/2018,Yes,UW Medicine ,Barry Slatta,(206) 882-2246
10269,Duff,Ray,132 East Main,Auburn,WA,98002,(253) 833-1026,6/4/1983,PROD,Seattle,(206) 221-1026,QR-07,R-2661,4,5,"$2,506.65",1/1/2018,Yes,Group Health,Eleanor Lancaster,(206) 221-1124
10270,Silby,Judy,1402 20Th St. Nw Ste. #4,Auburn,WA,98001,(253) 833-1027,6/5/1983,MKTG,Bellevue,(425) 882-1027,RL-27,M-1211,15,5,"$4,405.40",1/1/2018,Yes,Group Health,Barry Slatta,(206) 882-2246
10393,Harrington,Donna,1150 Raymond Ave. Sw,Renton,WA,98055,(425) 227-1039,10/6/1983,PROD,Seattle,(206) 221-1039,QR-06,R-5321,5,3,"$2,634.23",1/1/2018,Yes,Group Health,Joe Stone,(206) 221-2252
10430,Harding,Joel,204 H St. Nw,Auburn,WA,98001,(253) 833-1043,11/12/1983,MKTG,Bellevue,(425) 882-1043,RL-27,M-1211,10,4,"$3,519.81",1/1/2018,Yes,Regence BlueShield,Barry Slatta,(206) 882-2246
10474,Rathke,Nicole,61 Shattuck Ave. S.,Renton,WA,98055,(425) 227-1047,12/26/1983,PROD,Seattle,(206) 221-1047,QR-12,R-2661,4,6,"$2,529.17",1/1/2018,Yes,UW Medicine ,Harry Hillis,(206) 221-2179
10517,Lee,Allen,22645 76Th Av S,Kent,WA,98032,(253) 872-1051,2/7/1984,SALE,Bellevue,(425) 882-1051,HG-12,S-3006,15,5,"$4,405.40",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
10544,Allert,Maria,865 Lind Sw,Renton,WA,98055,(425) 227-1054,3/5/1984,PROD,Seattle,(206) 221-1054,QR-27,R-2661,2,5,"$2,161.43",1/1/2018,Yes,Regence BlueShield,Lynn Jarret,(206) 221-1366
10639,Samuelson,Ed,19044 108Th Ave. Se,Renton,WA,98055,(425) 227-1063,6/8/1984,PROD,Renton,(425) 393-1063,PB-14,R-1779,6,1,"$2,761.80",1/1/2018,Yes,Regence BlueShield,Molly Goldberg,(206) 393-1513
10702,Graves,Bert,904 North 36Th,Renton,WA,98056,(425) 226-1070,8/10/1984,ACCT,Seattle,(206) 221-1070,BX-45,A-1834,14,1,"$4,142.70",1/1/2018,Yes,Group Health,Val Johnson,(206) 221-1958
10853,Young,Jim,1408 15Th St. Nw,Auburn,WA,98001,(253) 833-1085,1/8/1985,PROD,Renton,(425) 393-1085,PB-14,R-1779,17,3,"$4,705.59",1/1/2018,Yes,Regence BlueShield,Molly Goldberg,(206) 393-1513
10876,Wilson,Fred,955 Lind Ave Sw,Renton,WA,98055,(425) 227-1087,1/31/1985,PROD,Seattle,(206) 221-1087,QR-12,R-2661,13,3,"$4,015.13",1/1/2018,Yes,Regence BlueShield,Harry Hillis,(206) 221-2179
10881,Mason,Christine,560 Naches,Renton,WA,98055,(425) 227-1088,2/5/1985,ENGR,Renton,(425) 393-1088,XJ-67,E-1089,14,5,"$4,232.78",1/1/2018,Yes,Regence BlueShield,Dave Rogers,(206) 393-1973
10884,Franklin,Dorothy,Gsa Wrihs 3 73 C St. Sw,Auburn,WA,98001,(253) 833-1088,2/8/1985,PROD,Seattle,(206) 221-1088,QR-27,R-2661,18,5,"$4,923.23",1/1/2018,Yes,Regence BlueShield,Lynn Jarret,(206) 221-1366
10911,McCarthy,Steven,18211 E. Valley Rd.,Kent,WA,98032,(253) 872-1091,3/7/1985,PROD,Seattle,(206) 221-1091,QR-35,R-2661,7,2,"$2,956.94",1/1/2018,Yes,Group Health,Marsha Mosley,(206) 221-1975
11127,Whitfield,Barbara,"14900 Interurban Ave. S., #290",Tukwila,WA,98168,(206) 575-1112,10/9/1985,SALE,Bellevue,(425) 882-1112,HG-12,S-3006,3,3,"$2,289.02",1/1/2018,Yes,Group Health,Bob Stewart,(206) 882-1590
11129,Rucker,Pamela,2715 Auburn Way North,Auburn,WA,98002,(253) 833-1112,10/11/1985,PROD,Seattle,(206) 221-1112,QR-27,R-2661,15,3,"$4,360.37",1/1/2018,Yes,Group Health,Lynn Jarret,(206) 221-1366
11133,Rubenstein,Arthur,2200 One Union Square,Seattle,WA,98101,(206) 452-1113,10/15/1985,PROD,Renton,(425) 393-1113,PB-18,R-1779,5,3,"$2,634.23",1/1/2018,Yes,Group Health,Frank Sullivan,(206) 393-1000
11153,Quinlan,Leslie,1531 20Th St. Nw,Auburn,WA,98001,(253) 833-1115,11/4/1985,PROD,Renton,(425) 393-1115,PB-21,R-1779,18,3,"$4,878.20",1/1/2018,Yes,Group Health,Frank Borman,(206) 393-1265
11157,Hill,Erica,3419 C St. Ne,Auburn,WA,98002,(253) 833-1115,11/8/1985,SALE,Bellevue,(425) 882-1115,HG-12,S-3006,4,4,"$2,484.14",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
11181,Carson,Brian,1120 Sw 16Th,Renton,WA,98055,(425) 227-1118,12/2/1985,PROD,Seattle,(206) 221-1118,QR-31,R-5321,15,4,"$4,382.88",1/1/2018,Yes,Regence BlueShield,Bob Irwin,(206) 221-1549
11222,Asher,Jane,130 Ne 3Rd,Auburn,WA,98002,(253) 833-1122,1/12/1986,ACCT,Seattle,(206) 221-1122,BX-45,A-1834,1,3,"$1,943.79",1/1/2018,Yes,Regence BlueShield,Val Johnson,(206) 221-1958
11239,Lloyd,Jean,101 2Nd St. Ne,Auburn,WA,98002,(253) 833-1123,1/29/1986,PROD,Renton,(425) 393-1123,PB-18,R-1779,1,3,"$1,943.79",1/1/2018,Yes,Regence BlueShield,Frank Sullivan,(206) 393-1000
11249,Lancaster,Eleanor,308 W. Main,Auburn,WA,98001,(253) 833-1124,2/8/1986,PROD,Seattle,(206) 221-1124,QR-07,R-2661,20,5,"$5,268.45",1/1/2018,Yes,Regence BlueShield,Wes Adams,(206) 221-1958
11407,Simpson,Sheila,2623 West Valley Hwy.,Auburn,WA,98001,(253) 833-1140,7/16/1986,SALE,Bellevue,(425) 882-1140,HG-12,S-3006,5,2,"$2,611.71",1/1/2018,Yes,UW Medicine ,Bob Stewart,(206) 882-1590
11463,McGuire,Ned,2807 Auburn Way North,Auburn,WA,98002,(253) 833-1146,9/10/1986,PROD,Renton,(425) 393-1146,PB-18,R-1779,11,4,"$3,692.43",1/1/2018,Yes,Regence BlueShield,Frank Sullivan,(206) 393-1000
11464,Cooper,June,615 2Nd Nw,Auburn,WA,98001,(253) 833-1146,9/10/1986,PROD,Seattle,(206) 221-1146,QR-35,R-2661,15,4,"$4,382.88",1/1/2018,Yes,Regence BlueShield,Marsha Mosley,(206) 221-1975
11524,Kellerman,Kurt,101 Lund Rd. Sw,Auburn,WA,98001,(253) 833-1152,11/10/1986,PROD,Seattle,(206) 221-1152,QR-19,R-5321,13,4,"$4,037.64",1/1/2018,Yes,Regence BlueShield,Bill Harrison,(206) 221-2205
11582,Robertson,Georgia,17601 S.E. 272 St.,Kent,WA,98042,(253) 872-1158,1/7/1987,ACCT,Seattle,(206) 221-1158,BX-45,A-1834,3,3,"$2,289.02",1/1/2018,Yes,Regence BlueShield,Val Johnson,(206) 221-1958
11583,Webster,Charles,800 Sw 16Th St.,Renton,WA,98055,(425) 227-1158,1/8/1987,ENGR,Renton,(425) 393-1158,XJ-67,E-1089,6,3,"$2,806.85",1/1/2018,Yes,Regence BlueShield,Dave Morgan,(206) 393-2002
11584,Collins,Jerry,401 Rainier Ave. N.,Renton,WA,98055,(425) 227-1158,1/8/1987,PROD,Seattle,(206) 221-1158,QR-12,R-2661,11,3,"$3,669.92",1/1/2018,Yes,Regence BlueShield,Harry Hillis,(206) 221-2179
11585,Bloom,Kathleen,846 Lind Sw,Renton,WA,98055,(425) 227-1158,1/8/1987,PROD,Renton,(425) 393-1158,PB-21,R-1779,4,3,"$2,461.62",1/1/2018,Yes,Regence BlueShield,Frank Borman,(206) 393-1265
11616,Wyman,Jeffrey,560 Hardy Ave. Sw,Renton,WA,98055,(425) 227-1161,2/10/1987,PROD,Seattle,(206) 221-1161,QR-06,R-5321,9,5,"$3,369.71",1/1/2018,Yes,Regence BlueShield,Joe Stone,(206) 221-2252
11624,Rosen,Barry,"25628 101 S.E., #A",Kent,WA,98031,(253) 872-1162,2/18/1987,PROD,Seattle,(206) 221-1162,QR-19,R-5321,4,5,"$2,506.65",1/1/2018,Yes,Regence BlueShield,Bill Harrison,(206) 221-2205
11638,Palmer,Barbara,4101 Lake Washington Blvd. N.,Renton,WA,98055,(425) 227-1163,3/4/1987,PROD,Seattle,(206) 221-1163,QR-06,R-5321,3,5,"$2,334.05",1/1/2018,Yes,Regence BlueShield,Joe Stone,(206) 221-2252
11715,Depner,Marilyn,1025 6Th Ave. N.,Kent,WA,98032,(253) 872-1171,5/20/1987,PROD,Seattle,(206) 221-1171,QR-07,R-2661,19,5,"$5,095.83",1/1/2018,Yes,Group Health,Eleanor Lancaster,(206) 221-1124
11730,Brewster,Edwin,833 Houser Way N.,Renton,WA,98055,(425) 227-1173,6/4/1987,MKTG,Bellevue,(425) 882-1173,RL-27,M-1211,4,5,"$2,506.65",1/1/2018,Yes,Group Health,Bob Shavers,(206) 882-1281
11913,Holliday,Joan,23805 104Th S.E.,Kent,WA,98031,(253) 872-1191,12/4/1987,PROD,Seattle,(206) 221-1191,QR-27,R-2661,14,4,"$4,210.26",1/1/2018,Yes,Regence BlueShield,Lynn Jarret,(206) 221-1366
