ID,Fname,Lname,Hiredate,Dept,Grade,Salary
10001,Frank,Sullivan,9/9/1982,PROD,20,"3,452.25"
10025,Betty,Selby,10/3/1982,PROD,12,"2,531.65"
10090,Ken,O'Brien,12/7/1982,MKTG,13,"2,646.72"
10269,Ray,Duff,6/4/1983,PROD,4,"1,611.05"
10270,Judy,Silby,6/5/1983,MKTG,15,"2,876.88"
10393,Donna,Harrington,10/6/1983,PROD,5,"1,726.12"
10430,Joel,Harding,11/12/1983,MKTG,10,"2,301.50"
10474,Nicole,Rathke,12/26/1983,PROD,4,"1,611.05"
10517,Allen,Lee,2/7/1984,SALE,15,"2,876.88"
10544,Maria,Allert,3/5/1984,PROD,2,"1,380.90"
10639,Ed,Samuelson,6/8/1984,PROD,6,"1,841.20"
10702,Bert,Graves,8/10/1984,ACCT,14,"2,761.80"
10853,Jim,Young,1/8/1985,PROD,17,"3,107.03"
10876,Fred,Wilson,1/31/1985,PROD,13,"2,646.72"
10881,Christine,Mason,2/5/1985,PROD,14,"2,761.80"
10884,Dorothy,Franklin,2/8/1985,PROD,18,"3,222.10"
10911,Steven,McCarthy,3/7/1985,PROD,7,"1,956.27"
11127,Barbara,Whitfield,10/9/1985,SALE,3,"1,495.98"
11129,Pamela,Rucker,10/11/1985,PROD,15,"2,876.88"
11133,Arthur,Rubenstein,10/15/1985,PROD,5,"1,726.12"
11153,Leslie,Quinlan,11/4/1985,PROD,18,"3,222.10"
11157,Erica,Hill,11/8/1985,SALE,4,"1,611.05"
11181,Brian,Carson,12/2/1985,PROD,15,"2,876.88"
11222,Jane,Asher,1/12/1986,ACCT,1,"1,265.83"
11239,Jean,Scott,1/29/1986,PROD,1,"1,265.83"
11249,Eleanor,Lancaster,2/8/1986,PROD,20,"3,452.25"
11407,Sheila,Simpson,7/16/1986,SALE,5,"1,726.12"
11463,Ned,McGuire,9/10/1986,PROD,11,"2,416.58"
11464,June,Cooper,9/10/1986,PROD,15,"2,876.88"
11524,Kurt,Kellerman,11/10/1986,PROD,13,"2,646.72"
11582,Georgia,Robertson,1/7/1987,ACCT,3,"1,495.98"
11583,Charles,Webster,1/8/1987,PROD,6,"1,841.20"
11584,Jerry,Collins,1/8/1987,PROD,11,"2,416.58"
11585,Kathleen,Bloom,1/8/1987,PROD,4,"1,611.05"
11616,Jeffrey,Wyman,2/10/1987,PROD,9,"2,186.42"
11624,Barry,Rosen,2/18/1987,PROD,4,"1,611.05"
11638,Barbara,Palmer,3/4/1987,PROD,3,"1,495.98"
11715,Marilyn,Depner,5/20/1987,PROD,19,"3,337.17"
11730,Edwin,Brewster,6/4/1987,MKTG,4,"1,611.05"
11913,Joan,Holliday,12/4/1987,PROD,14,"2,761.80"
11972,Cathy,Wentworth,2/1/1988,ACCT,10,"2,301.50"
12002,Steve,Smith,3/2/1988,ACCT,8,"2,071.35"
12003,Joanne,Larsen,3/3/1988,PROD,18,"3,222.10"
12133,Don,Madison,7/11/1988,PROD,7,"1,956.27"
12147,Sheila,Klein,7/25/1988,SALE,11,"2,416.58"
12158,Bonnie,Jones,8/5/1988,PROD,2,"1,380.90"
12168,Dennis,Grover,8/15/1988,PROD,8,"2,071.35"
12196,George,Peterson,9/12/1988,PROD,8,"2,071.35"
12215,Roberta,Cort,10/1/1988,PROD,5,"1,726.12"
12224,Wally,DeCosta,10/10/1988,PROD,5,"1,726.12"
12244,Ward,Apperly,10/30/1988,PROD,8,"2,071.35"
12255,Harriet,Sievers,11/10/1988,PROD,8,"2,071.35"
12257,Frank,Berry,11/12/1988,SALE,13,"2,646.72"
12278,David,Gribben,12/3/1988,PROD,13,"2,646.72"
12287,Anthony,Cato,12/12/1988,SALE,14,"2,761.80"
12370,Diane,Arthur,3/5/1989,MKTG,20,"3,452.25"
12375,Jean,Tracy,3/10/1989,PROD,12,"2,531.65"
12461,Lowell,Leonhardt,6/4/1989,PROD,19,"3,337.17"
12466,Helen,Hartman,6/9/1989,PROD,8,"2,071.35"
12471,Paul,Howard,6/14/1989,PROD,5,"1,726.12"
12525,Albert,Weston,8/7/1989,PROD,19,"3,337.17"
12550,John,Costello,9/1/1989,MKTG,1,"1,265.83"
12655,Frank,Borman,12/15/1989,PROD,20,"3,452.25"
12672,Robert,Ewing,1/1/1990,ACCT,15,"2,876.88"
12677,James,Gray,1/6/1990,SALE,11,"2,416.58"
12699,Carol,Diaz,1/28/1990,PROD,18,"3,222.10"
12752,Peter,Giles,3/22/1990,ACCT,11,"2,416.58"
12810,Robert,Shavers,5/19/1990,MKTG,18,"3,222.10"
12957,Candy,Ward,10/13/1990,SALE,12,"2,531.65"
13001,Bill,Roth,11/26/1990,PROD,18,"3,222.10"
13007,Charlotte,Covello,12/2/1990,SALE,15,"2,876.88"
13040,Jonathan,Reynolds,1/4/1991,MKTG,18,"3,222.10"
13048,Bart,Horton,1/12/1991,PROD,16,"2,991.95"
13066,Donna,Kalman,1/30/1991,PROD,15,"2,876.88"
13067,John,Kowalski,1/31/1991,SALE,9,"2,186.42"
13070,Carole,Vaughn,2/3/1991,MKTG,8,"2,071.35"
13077,Sharon,Hegarty,2/10/1991,SALE,5,"1,726.12"
13255,Carolyn,Blair,8/7/1991,PROD,15,"2,876.88"
13343,Paul,Simpson,11/3/1991,PROD,1,"1,265.83"
13346,Nancy,Collins,11/6/1991,PROD,5,"1,726.12"
13348,Chris,Schneider,11/8/1991,PROD,15,"2,876.88"
13410,Margo,Hagman,1/9/1992,MKTG,2,"1,380.90"
13564,Harold,Nicholson,6/11/1992,PROD,11,"2,416.58"
13666,Paul,Purcell,9/21/1992,PROD,5,"1,726.12"
13668,Lynn,Jarrett,9/23/1992,PROD,20,"3,452.25"
13751,Don,Hildermann,12/15/1992,PROD,10,"2,301.50"
13895,Sam,Pierce,5/8/1993,PROD,3,"1,495.98"
13989,John,Lewis,8/10/1993,PROD,15,"2,876.88"
14082,Lou,Farmer,11/11/1993,ACCT,8,"2,071.35"
14084,Jerry,Taft,11/13/1993,PROD,15,"2,876.88"
14219,Eileen,Bates,3/28/1994,PROD,7,"1,956.27"
14249,Cindy,Ferris,4/27/1994,PROD,12,"2,531.65"
14306,Donald,Heinemann,6/23/1994,PROD,14,"2,761.80"
